1170077963 : 0 : [339, 6094, 480, 1282798155, 1158, 40, 0, 220L, 0, 23, 1L, 2L, 56, 90616.2]
1097819014 : 1 : [15, 542, 1767, 1256667406, 210, 0, 0, -1L, 0, 0, 0, 0, 46, 0.9]
2032414481 : 0 : [103, 10366, 171, 1300471309, 793958, 21, 0, -1L, 0, 67, 48L, 7L, 43, 6071.5]
2424389235 : 1 : [112, 1031, 1146, 1319517366, 917, 0, 0, -1L, 1, 32, 6L, 6L, 96, 121165.6]
2396459724 : 1 : [20, 78, 55, 1316099171, 140, 0, 0, -1L, 0, 0, 3L, 3L, 89, 715829.7]
3501609981 : 0 : [54, 351, 477, 1371900219, 564, 0, 0, -1L, 1, 16, 0, 0, 47, 34027.2]
2397185840 : 1 : [0, 14, 3, 1316119583, 48, 0, 0, -1L, 1, 0, 4L, 4L, 85, 505222.0]
2397142162 : 1 : [0, 15, 3, 1316119569, 40, 0, 0, -1L, 1, 0, 4L, 4L, 87, 505207.5]
1841025183 : 0 : [140, 143, 223, 1288296124, 282, 0, 0, -1L, 0, 32, 3L, 2L, 55, 1630021.1]
2396412710 : 1 : [5, 67, 29, 1316099183, 135, 0, 0, -1L, 0, 0, 3L, 3L, 83, 812717.1]
2396224292 : 1 : [74, 103, 114, 1316090052, 203, 0, 0, -1L, 1, 0, 6L, 6L, 50, 424241.8]
2359097353 : 1 : [19, 46, 55, 1316096580, 48, 0, 0, -1L, 1, 0, 8L, 7L, 86, 602412.2]
1717367401 : 0 : [124, 1476, 257, 1269402281, 3880, 3, 0, -1L, 0, 30, 3L, 2L, 80, 109819.9]
1556453153 : 0 : [513, 2768, 660, 1269125818, 2201, 733, 1, 0, 1, 24, 3L, 3L, 19, 26393.7]
1784396275 : 0 : [72, 78, 128, 1280162759, 193, 8, 0, -1L, 0, 4, 6L, 3L, 76, 4362396.5]
1713877295 : 0 : [132, 718, 171, 1268970445, 18779, 3, 1, 0, 1, 21, 3L, 3L, 31, 194466.9]
2299756053 : 0 : [75, 707, 384, 1313202214, 129, 296, 0, -1L, 0, 54, 1L, 1L, 10, 795503.1]
1224019655 : 1 : [271, 1862, 489, 1305909922, 357, 2, 0, 220L, 1, 31, 0, 0, 66, 1842.2]
1667483601 : 0 : [238, 755, 764, 1275781265, 5679, 2, 0, 220L, 1, 0, 1L, 8L, 22, 1237576.7]
2841057401 : 0 : [9, 159, 38, 1348511948, 19072, 0, 0, -1L, 0, 42, 9L, 2L, 70, 5687.6]
3205468931 : 0 : [812, 896, 954, 1356726575, 14414, 112, 0, -1L, 1, 75, 4L, 1L, 47, 26958.0]
2292182194 : 0 : [136, 146, 264, 1312732779, 275, 7, 0, -1L, 0, 12, 0, 1L, 8, 238250.6]
1758334833 : 0 : [72, 2865, 140, 1276628689, 678, 61, 0, 220L, 0, 11, 5L, 6L, 45, 82827.6]
1633106971 : 0 : [592, 1114, 1002, 1272373685, 11297, 21, 1, 0, 1, 10, 15L, 2L, 48, 618303.0]
2106602884 : 1 : [81, 1133, 1244, 1327551888, 316, 0, 0, 200L, 1, 33, 0, 0, 120, 165076.6]
1188552450 : 0 : [236, 1179, 232, 1251495247, 20690436, 5, 1, 0, 1, 70, 10387L, 3601L, 62, 207136.2]
1698075090 : 0 : [1766, 10398, 1987, 1283007903, 17952, 1022, 0, 220L, 1, 19, 10L, 2L, 25, 7525.9]
1768603594 : 0 : [181, 1827, 572, 1278093236, 4012, 212, 0, -1L, 0, 13, 1L, 12L, 44, 60244.9]
